episode,total_reward,total_return,final_portfolio_value,n_trades,sharpe_ratio,win_rate,epsilon,avg_loss
1,-0.104825,-0.001048,99895.23,1779,-5.0475,0.4857,0.594937,0.001217
2,-0.096466,-0.000964,99903.58,1803,-4.6773,0.5153,0.353437,1.8e-05
3,-0.106599,-0.001065,99893.46,1766,-5.1815,0.5227,0.211644,6e-06
4,-0.093787,-0.000937,99906.26,1653,-4.5756,0.4943,0.128392,3e-06
5,-0.092073,-0.00092,99907.97,1556,-4.4659,0.4878,0.079512,2e-06
6,-0.094076,-0.00094,99905.97,1633,-4.5841,0.4991,0.050813,1e-06
7,-0.083494,-0.000835,99916.54,1466,-4.1133,0.4925,0.033963,1e-06
8,-0.085376,-0.000853,99914.66,1497,-4.2315,0.503,0.024069,1e-06
9,-0.076987,-0.00077,99923.04,1457,-3.7882,0.5216,0.018261,0.0
10,-0.082205,-0.000822,99917.83,1327,-4.0458,0.4846,0.01485,0.0
11,-0.073111,-0.000731,99926.92,1265,-3.6183,0.5051,0.012848,0.0
12,-0.06634,-0.000663,99933.68,1055,-3.3272,0.4882,0.011672,0.0
13,-0.054646,-0.000546,99945.37,1073,-2.7274,0.52,0.010982,0.0
14,-0.056915,-0.000569,99943.1,925,-2.8599,0.5027,0.010576,0.0
15,-0.046598,-0.000466,99953.41,918,-2.3386,0.5142,0.010338,0.0
16,-0.037898,-0.000379,99962.11,760,-1.9308,0.5263,0.010199,0.0
17,-0.037158,-0.000372,99962.85,620,-1.8891,0.5226,0.010117,0.0
18,-0.041319,-0.000413,99958.69,713,-2.1057,0.4839,0.010068,0.0
19,-0.034486,-0.000345,99965.52,633,-1.7698,0.5071,0.01004,0.0
20,-0.040417,-0.000404,99959.59,658,-2.0569,0.4772,0.010024,0.0
21,-0.035699,-0.000357,99964.31,692,-1.8286,0.5173,0.010014,0.0
22,-0.033937,-0.000339,99966.07,610,-1.7556,0.5082,0.010008,0.0
23,-0.030045,-0.0003,99969.96,622,-1.5482,0.4662,0.010005,0.0
24,-0.041241,-0.000412,99958.77,637,-2.1141,0.4772,0.010003,0.0
25,-0.0406,-0.000406,99959.41,717,-2.0838,0.5216,0.010002,0.0
26,-0.036427,-0.000364,99963.58,584,-1.8774,0.4589,0.010001,0.0
27,-0.030269,-0.000303,99969.74,599,-1.5492,0.5075,0.010001,0.0
28,-0.035138,-0.000351,99964.87,635,-1.8019,0.4693,0.01,0.0
29,-0.027182,-0.000272,99972.82,598,-1.4067,0.5217,0.01,0.0
30,-0.038198,-0.000382,99961.81,626,-1.9686,0.4904,0.01,0.0
31,-0.033771,-0.000338,99966.23,686,-1.7196,0.4854,0.01,0.0
32,-0.025855,-0.000259,99974.15,648,-1.3303,0.5648,0.01,0.0
33,-0.033325,-0.000333,99966.68,563,-1.7144,0.5009,0.01,0.0
34,-0.0267,-0.000267,99973.3,613,-1.3716,0.553,0.01,0.0
35,-0.025596,-0.000256,99974.41,557,-1.3245,0.4973,0.01,0.0
36,-0.032055,-0.000321,99967.95,615,-1.649,0.5089,0.01,0.0
37,-0.020406,-0.000204,99979.6,554,-1.0567,0.5162,0.01,0.0
38,-0.025444,-0.000254,99974.56,565,-1.3136,0.5009,0.01,0.0
39,-0.030369,-0.000304,99969.64,575,-1.5607,0.5183,0.01,0.0
40,-0.023272,-0.000233,99976.73,534,-1.2044,0.5356,0.01,0.0
41,-0.024358,-0.000244,99975.64,534,-1.2559,0.4981,0.01,0.0
42,-0.014485,-0.000145,99985.52,525,-0.7506,0.5924,0.01,0.0
43,-0.025813,-0.000258,99974.19,540,-1.3369,0.5481,0.01,0.0
44,-0.024141,-0.000241,99975.86,522,-1.2563,0.5326,0.01,0.0
45,-0.017611,-0.000176,99982.39,460,-0.9182,0.4935,0.01,0.0
46,-0.019357,-0.000194,99980.64,517,-1.0049,0.5164,0.01,0.0
47,-0.016107,-0.000161,99983.89,514,-0.8385,0.5506,0.01,0.0
48,-0.012507,-0.000125,99987.49,439,-0.6539,0.5376,0.01,0.0
49,-0.017039,-0.00017,99982.96,407,-0.8889,0.5528,0.01,0.0
50,-0.017675,-0.000177,99982.33,457,-0.9181,0.5536,0.01,0.0
51,-0.012984,-0.00013,99987.02,320,-0.6875,0.5125,0.01,0.0
52,-0.017779,-0.000178,99982.22,371,-0.9354,0.5229,0.01,0.0
53,-0.022276,-0.000223,99977.73,389,-1.1696,0.5141,0.01,0.0
54,-0.011365,-0.000114,99988.64,313,-0.601,0.5208,0.01,0.0
55,-0.010021,-0.0001,99989.98,325,-0.5298,0.5508,0.01,0.0
56,-0.00703,-7e-05,99992.97,307,-0.372,0.5375,0.01,0.0
57,-0.015532,-0.000155,99984.47,389,-0.8163,0.5656,0.01,0.0
