episode,total_reward,total_return,final_portfolio_value,n_trades,sharpe_ratio,win_rate,epsilon,avg_loss
1,56.155677,0.043505,1.04,844,0.0743,0.5249,0.948337,1.454529
2,-90.648449,-0.101293,0.9,847,-0.1099,0.5183,0.899346,1.089047
3,-21.592545,-0.03601,0.96,843,-0.0271,0.5219,0.852888,1.080077
4,79.350522,0.068631,1.07,846,0.1073,0.5106,0.808833,1.057035
5,215.446339,0.22479,1.22,831,0.2948,0.5295,0.767056,1.031328
6,248.28209,0.264848,1.26,870,0.3314,0.5632,0.727439,1.008745
7,234.944769,0.248194,1.25,868,0.3145,0.568,0.689872,0.997748
8,310.964597,0.350204,1.35,871,0.4631,0.5741,0.654247,0.984003
9,456.130562,0.562092,1.56,881,0.6994,0.5743,0.620464,0.956679
10,428.347114,0.52112,1.52,889,0.7,0.6018,0.588429,0.921481
11,294.149121,0.325278,1.33,904,0.4051,0.573,0.55805,0.920175
12,321.915535,0.365421,1.37,916,0.4852,0.5775,0.529242,0.916346
13,256.726258,0.277669,1.28,889,0.3659,0.5872,0.501924,0.92196
14,582.102469,0.7746,1.77,914,0.9723,0.6039,0.476019,0.899632
15,407.34419,0.486928,1.49,914,0.6091,0.6171,0.451453,0.883864
16,451.21723,0.555751,1.56,943,0.7228,0.596,0.428158,0.87307
17,496.837919,0.62682,1.63,930,0.7581,0.6194,0.406068,0.870733
18,555.405993,0.727789,1.73,941,0.9258,0.6153,0.38512,0.860955
19,427.79367,0.519273,1.52,928,0.6744,0.5991,0.365255,0.857138
20,618.199615,0.839042,1.84,934,1.0082,0.6403,0.346418,0.82627
21,582.621213,0.775141,1.78,933,0.9612,0.6238,0.328555,0.816824
22,542.899036,0.706682,1.71,968,0.9168,0.6126,0.311615,0.794621
23,634.947345,0.871388,1.87,926,1.0779,0.6523,0.295552,0.775672
24,546.413182,0.711798,1.71,933,0.8948,0.6334,0.280319,0.758021
25,517.51545,0.663182,1.66,930,0.8516,0.6129,0.265874,0.749421
26,625.765975,0.853715,1.85,914,1.0429,0.6291,0.252176,0.736466
27,637.933585,0.877106,1.88,906,1.0869,0.617,0.239187,0.728477
28,574.539811,0.761609,1.76,923,0.9722,0.6295,0.226869,0.721705
29,640.09373,0.881364,1.88,930,1.098,0.6301,0.215188,0.713184
30,549.167191,0.715838,1.72,937,0.8801,0.6371,0.204111,0.705382
31,661.408348,0.922979,1.92,938,1.1768,0.662,0.193608,0.698067
32,690.050133,0.977559,1.98,936,1.1774,0.6635,0.183647,0.690091
33,662.016811,0.922216,1.92,902,1.1057,0.6497,0.174201,0.688115
34,664.109063,0.927946,1.93,922,1.1725,0.6399,0.165244,0.68134
35,752.342375,1.107141,2.11,927,1.3885,0.6591,0.15675,0.674519
36,680.482306,0.960851,1.96,947,1.2469,0.6526,0.148696,0.662504
37,602.47194,0.81179,1.81,953,1.0294,0.6411,0.141058,0.654694
38,807.649334,1.227302,2.23,971,1.5082,0.6571,0.133815,0.659286
39,718.037109,1.035454,2.04,946,1.2965,0.6533,0.126946,0.640215
40,738.201383,1.077606,2.08,954,1.3648,0.652,0.120433,0.634262
41,610.98892,0.825527,1.83,939,0.9874,0.6315,0.114256,0.632928
42,704.210871,1.007026,2.01,962,1.2509,0.6206,0.108399,0.630909
43,655.57499,0.909711,1.91,974,1.0896,0.6386,0.102845,0.628003
44,698.283317,0.994071,1.99,949,1.1981,0.6512,0.097578,0.626927
45,721.313107,1.041225,2.04,960,1.2648,0.6687,0.092584,0.615503
46,734.226746,1.068452,2.07,930,1.3163,0.6591,0.087848,0.617538
47,728.553287,1.056632,2.06,963,1.301,0.649,0.083356,0.612746
48,788.823211,1.18549,2.19,956,1.4599,0.6778,0.079097,0.611507
49,806.603549,1.224944,2.22,954,1.5046,0.6604,0.075058,0.60825
50,778.734832,1.164113,2.16,936,1.4682,0.6731,0.071229,0.603504
51,684.285237,0.96701,1.97,947,1.1987,0.6589,0.067597,0.608277
52,796.063875,1.200543,2.2,953,1.4344,0.6684,0.064153,0.597235
53,775.5927,1.156927,2.16,942,1.4425,0.6677,0.060887,0.601578
54,732.522978,1.065511,2.07,946,1.3391,0.6818,0.05779,0.600759
55,711.821005,1.022357,2.02,924,1.2647,0.6548,0.054853,0.600652
56,799.117879,1.208668,2.21,934,1.5065,0.6756,0.052068,0.583151
57,762.584424,1.128226,2.13,928,1.3797,0.6649,0.049427,0.584179
58,737.856239,1.076183,2.08,943,1.3321,0.6501,0.046922,0.591356
59,744.852631,1.091442,2.09,951,1.3759,0.6583,0.044548,0.576038
60,787.118414,1.181696,2.18,956,1.4527,0.6747,0.042296,0.576484
61,778.17401,1.16224,2.16,957,1.4354,0.6646,0.04016,0.572635
62,778.238995,1.162909,2.16,940,1.4606,0.6681,0.038135,0.567787
63,748.031381,1.09898,2.1,949,1.4254,0.6649,0.036214,0.561536
64,764.294206,1.132668,2.13,946,1.42,0.6564,0.034393,0.559661
65,794.989819,1.199602,2.2,953,1.5004,0.6695,0.032666,0.559795
66,732.224312,1.064877,2.06,950,1.3377,0.6632,0.031029,0.548593
67,724.70932,1.049217,2.05,957,1.3149,0.6625,0.029476,0.549807
68,691.487953,0.981883,1.98,936,1.2381,0.6603,0.028003,0.556357
69,711.781436,1.022912,2.02,943,1.2921,0.6638,0.026607,0.557679
70,734.209624,1.069087,2.07,962,1.3463,0.659,0.025282,0.553477
71,698.951857,0.996991,2.0,952,1.2627,0.6534,0.024027,0.556177
72,758.181934,1.119644,2.12,967,1.4072,0.6556,0.022836,0.552293
73,781.215803,1.169252,2.17,949,1.4609,0.6607,0.021707,0.552561
74,688.540019,0.975598,1.98,934,1.2143,0.6552,0.020636,0.548514
75,746.458164,1.094463,2.09,949,1.3631,0.6617,0.01962,0.558947
76,731.099824,1.062606,2.06,959,1.3379,0.6569,0.018657,0.551204
77,737.506717,1.075679,2.08,949,1.3414,0.6554,0.017744,0.549835
78,731.685134,1.063935,2.06,952,1.3445,0.6513,0.016878,0.551067
79,715.565386,1.030763,2.03,937,1.3071,0.6489,0.016057,0.552823
80,696.442907,0.992542,1.99,957,1.283,0.6552,0.015278,0.544989
81,652.462291,0.905099,1.91,923,1.1313,0.6468,0.01454,0.551904
82,724.997522,1.05049,2.05,941,1.3469,0.6472,0.01384,0.554866
83,684.311536,0.967057,1.97,921,1.1987,0.6526,0.013176,0.554878
84,721.368944,1.042322,2.04,948,1.3061,0.654,0.012546,0.55827
85,711.052445,1.021834,2.02,941,1.3085,0.661,0.011949,0.559329
86,764.778209,1.133793,2.13,947,1.4257,0.6705,0.011383,0.54648
87,764.079786,1.132505,2.13,953,1.4343,0.6611,0.010846,0.551172
88,758.152122,1.119792,2.12,949,1.4177,0.667,0.010337,0.542975
89,735.73636,1.071773,2.07,937,1.3277,0.6628,0.009854,0.553553
90,755.385693,1.113448,2.11,937,1.389,0.6596,0.009396,0.54583
91,775.924362,1.157896,2.16,950,1.4558,0.6695,0.008962,0.553413
92,780.758203,1.168658,2.17,951,1.4804,0.6688,0.00855,0.542478
93,722.22361,1.044561,2.04,945,1.3301,0.6582,0.00816,0.539878
94,762.826092,1.129403,2.13,936,1.4109,0.6624,0.007789,0.543921
95,794.951443,1.199278,2.2,945,1.4884,0.673,0.007438,0.545099
96,819.151926,1.252993,2.25,965,1.5262,0.6767,0.007105,0.534439
97,808.533606,1.22944,2.23,949,1.5183,0.6723,0.00679,0.530491
98,768.175955,1.140985,2.14,943,1.4285,0.6691,0.00649,0.53478
99,793.574396,1.195612,2.2,943,1.4548,0.6702,0.006206,0.536625
100,778.87144,1.163561,2.16,945,1.4274,0.6656,0.005937,0.530739
101,802.641294,1.216558,2.22,952,1.5184,0.6859,0.005682,0.530889
102,789.737031,1.187743,2.19,952,1.4737,0.666,0.00544,0.526071
103,750.006926,1.102271,2.1,942,1.3866,0.6635,0.00521,0.521656
104,717.070239,1.033235,2.03,952,1.2842,0.6576,0.004992,0.522219
105,750.347011,1.102308,2.1,952,1.3563,0.667,0.004786,0.532284
106,740.243078,1.081478,2.08,942,1.3515,0.6699,0.00459,0.514126
107,768.916301,1.142009,2.14,949,1.4035,0.6776,0.004404,0.523223
108,779.520765,1.164939,2.16,952,1.4273,0.6733,0.004228,0.524535
109,816.957858,1.248105,2.25,958,1.5245,0.6858,0.004061,0.514042
110,815.641795,1.245123,2.25,963,1.5208,0.6812,0.003903,0.524717
111,740.324314,1.081682,2.08,948,1.3533,0.6603,0.003753,0.51539
112,785.199095,1.1777,2.18,948,1.4584,0.6751,0.003611,0.519776
113,713.159889,1.024843,2.02,950,1.2581,0.6621,0.003476,0.520413
114,789.643005,1.187344,2.19,955,1.4642,0.6806,0.003348,0.52707
115,801.060702,1.212956,2.21,956,1.5101,0.6789,0.003226,0.518149
116,795.172108,1.199353,2.2,959,1.4687,0.683,0.003111,0.521926
117,785.282847,1.177972,2.18,956,1.4631,0.6695,0.003002,0.517584
118,814.653053,1.242986,2.24,968,1.5231,0.6777,0.002898,0.524002
119,836.102884,1.292191,2.29,966,1.5933,0.677,0.0028,0.5107
120,834.521969,1.288777,2.29,967,1.6012,0.6856,0.002707,0.516752
121,821.645266,1.25941,2.26,972,1.5721,0.677,0.002619,0.523277
122,807.238395,1.22643,2.23,966,1.51,0.6739,0.002535,0.515939
123,749.151152,1.098966,2.1,952,1.3186,0.6807,0.002456,0.509748
124,815.032087,1.244774,2.24,962,1.5733,0.6736,0.00238,0.514646
125,778.418316,1.163056,2.16,969,1.4492,0.6698,0.002309,0.510942
126,818.396525,1.251933,2.25,974,1.5575,0.6797,0.002241,0.509217
127,825.212632,1.267508,2.27,968,1.5802,0.6736,0.002177,0.51431
128,816.126669,1.246508,2.25,973,1.5366,0.6845,0.002116,0.508402
129,781.588921,1.169168,2.17,955,1.4198,0.6733,0.002059,0.504836
130,792.322747,1.193491,2.19,982,1.4828,0.6589,0.002004,0.514429
131,843.934521,1.310024,2.31,987,1.5982,0.6809,0.001952,0.504996
132,763.539928,1.130227,2.13,949,1.3802,0.6754,0.001903,0.499203
133,809.708849,1.232316,2.23,982,1.5338,0.6792,0.001856,0.498771
134,835.750872,1.291205,2.29,978,1.5831,0.6871,0.001812,0.505915
135,768.727116,1.141501,2.14,981,1.3985,0.6626,0.00177,0.504697
136,760.971135,1.12485,2.12,982,1.3796,0.665,0.00173,0.502441
137,817.169203,1.248821,2.25,979,1.5375,0.6813,0.001692,0.505795
138,793.401467,1.195603,2.2,991,1.4726,0.668,0.001656,0.510025
139,781.45019,1.169604,2.17,975,1.4544,0.6718,0.001622,0.500531
140,751.820428,1.105274,2.11,973,1.3531,0.6711,0.00159,0.506125
141,811.85748,1.237348,2.24,984,1.5503,0.6687,0.00156,0.509082
142,801.838559,1.214494,2.21,989,1.5023,0.6673,0.001531,0.503315
143,810.602918,1.23416,2.23,975,1.5279,0.68,0.001503,0.5063
144,807.852064,1.228032,2.23,973,1.5231,0.667,0.001477,0.504801
145,828.516521,1.274588,2.27,987,1.5643,0.6758,0.001453,0.497364
146,809.590594,1.231655,2.23,980,1.5136,0.6755,0.001429,0.498217
147,803.26938,1.217468,2.22,985,1.4957,0.6711,0.001407,0.503376
148,795.511711,1.200162,2.2,979,1.4727,0.6619,0.001386,0.493109
149,835.712377,1.290921,2.29,985,1.5733,0.6853,0.001366,0.496072
150,809.916499,1.232389,2.23,987,1.5145,0.6758,0.001347,0.494769
