episode,total_reward,total_return,final_portfolio_value,n_trades,sharpe_ratio,win_rate,epsilon,avg_loss
1,156.312498,0.157607,1.16,637,0.2757,0.5102,0.960157,1.589896
2,-58.097825,-0.067074,0.93,655,-0.096,0.4947,0.921903,1.114461
3,179.718187,0.186799,1.19,638,0.3438,0.5172,0.885175,1.044213
4,65.52822,0.056036,1.06,640,0.1099,0.5062,0.849911,1.021045
5,322.389149,0.368019,1.37,653,0.5974,0.5727,0.816054,0.999956
6,72.469601,0.062807,1.06,646,0.1186,0.5139,0.783548,0.972426
7,125.18781,0.120531,1.12,657,0.2064,0.5266,0.752337,0.986911
8,219.636479,0.233724,1.23,673,0.3945,0.5721,0.722372,0.977228
9,210.644087,0.223043,1.22,670,0.3844,0.5478,0.693601,0.980439
10,325.504055,0.373101,1.37,698,0.6241,0.553,0.665979,0.954605
11,284.110804,0.316558,1.32,683,0.5243,0.5666,0.639457,0.937685
12,322.112534,0.367838,1.37,690,0.6019,0.5841,0.613994,0.951943
13,433.36134,0.53066,1.53,678,0.8719,0.6209,0.589546,0.934686
14,406.065282,0.488843,1.49,687,0.7961,0.5924,0.566073,0.910855
15,404.372271,0.484883,1.48,692,0.7491,0.5939,0.543536,0.910051
16,331.560525,0.379814,1.38,706,0.5955,0.6076,0.521898,0.910935
17,444.048083,0.546014,1.55,707,0.8552,0.5856,0.501123,0.899602
18,383.019606,0.455095,1.46,698,0.7565,0.5917,0.481177,0.89104
19,539.479674,0.703178,1.7,709,1.138,0.653,0.462026,0.877644
20,419.400676,0.509737,1.51,704,0.8551,0.6108,0.443639,0.880567
21,537.394842,0.699685,1.7,699,1.1362,0.6137,0.425985,0.873652
22,387.954216,0.462592,1.46,717,0.7762,0.5955,0.409036,0.864078
23,377.446593,0.445604,1.45,711,0.7036,0.5963,0.392762,0.875177
24,602.535926,0.815338,1.82,710,1.3436,0.6338,0.377138,0.863261
25,571.330812,0.758656,1.76,706,1.2237,0.6388,0.362136,0.834568
26,498.903258,0.634516,1.63,703,1.0114,0.6017,0.347733,0.829528
27,614.587051,0.83637,1.84,718,1.3152,0.649,0.333904,0.829791
28,547.597711,0.715754,1.72,725,1.0969,0.6607,0.320627,0.818114
29,529.16876,0.684091,1.68,695,1.0463,0.6576,0.307879,0.801898
30,524.939387,0.677801,1.68,695,1.0715,0.6403,0.29564,0.797423
31,518.039589,0.66662,1.67,713,1.0729,0.6339,0.283889,0.784334
32,493.292949,0.625192,1.63,704,0.9926,0.6179,0.272607,0.791359
33,619.723437,0.84662,1.85,710,1.371,0.6676,0.261774,0.76833
34,508.493451,0.65104,1.65,677,1.0643,0.6396,0.251374,0.75375
35,601.706726,0.813011,1.81,719,1.2951,0.6467,0.241388,0.746011
36,638.788614,0.881633,1.88,704,1.3832,0.6662,0.231801,0.74932
